Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Ecoli	Contamnts_Adaptrs	Multiple Genomes	No hits
Sgr-AJol_068-Ex18F-lwgs-1-1.clmp.fp2_r1_screen	46432.0	17346.0	3587.0	2524.0	1153.0	948.0	393.0	331.0	5.0	0.0	0.0	391968.0	3382059.0
Sgr-AJol_068-Ex18F-lwgs-1-1.clmp.fp2_r2_screen	46774.0	17235.0	3624.0	2536.0	1127.0	947.0	415.0	324.0	1.0	0.0	0.0	390550.0	3383213.0
Sgr-AJol_069-Ex19F-lwgs-1-1.clmp.fp2_r1_screen	58663.0	17955.0	4348.0	3087.0	1341.0	1250.0	555.0	321.0	7.0	0.0	0.0	711026.0	3785558.0
Sgr-AJol_069-Ex19F-lwgs-1-1.clmp.fp2_r2_screen	60006.0	18038.0	4330.0	3142.0	1359.0	1250.0	547.0	311.0	5.0	0.0	0.0	708189.0	3786934.0
Sgr-AJol_071-Ex111F-lwgs-1-1.clmp.fp2_r1_screen	23595.0	3689.0	1844.0	1250.0	616.0	534.0	212.0	97.0	3.0	0.0	0.0	188032.0	1690392.0
Sgr-AJol_071-Ex111F-lwgs-1-1.clmp.fp2_r2_screen	23975.0	3721.0	1940.0	1256.0	560.0	545.0	181.0	76.0	2.0	0.0	0.0	187425.0	1690583.0
Sgr-AJol_072-Ex112F-lwgs-1-1.clmp.fp2_r1_screen	69143.0	56890.0	5187.0	3730.0	1655.0	1480.0	476.0	869.0	2.0	0.0	0.0	549765.0	4950708.0
Sgr-AJol_072-Ex112F-lwgs-1-1.clmp.fp2_r2_screen	69790.0	56947.0	5133.0	3681.0	1563.0	1474.0	536.0	844.0	6.0	0.0	0.0	546967.0	4952964.0
Sgr-AJol_073-Ex11G-lwgs-1-1.clmp.fp2_r1_screen	1321.0	483.0	111.0	71.0	41.0	23.0	11.0	4.0	0.0	0.0	0.0	10873.0	100149.0
Sgr-AJol_073-Ex11G-lwgs-1-1.clmp.fp2_r2_screen	1351.0	499.0	102.0	75.0	35.0	28.0	8.0	3.0	0.0	0.0	0.0	10735.0	100251.0
Sgr-AJol_074-Ex12G-lwgs-1-1.clmp.fp2_r1_screen	49394.0	6896.0	3724.0	2763.0	1155.0	1083.0	392.0	198.0	3.0	0.0	0.0	251392.0	4091893.0
Sgr-AJol_074-Ex12G-lwgs-1-1.clmp.fp2_r2_screen	49913.0	6861.0	3844.0	2718.0	1122.0	1088.0	404.0	181.0	4.0	0.0	0.0	251306.0	4091452.0
Sgr-AJol_075-Ex13G-lwgs-1-1.clmp.fp2_r1_screen	50577.0	5561.0	3880.0	2889.0	1174.0	1093.0	454.0	237.0	3.0	0.0	0.0	284142.0	4298196.0
Sgr-AJol_075-Ex13G-lwgs-1-1.clmp.fp2_r2_screen	50859.0	5433.0	3847.0	2877.0	1146.0	1140.0	458.0	238.0	4.0	0.0	0.0	284008.0	4298196.0
Sgr-AJol_076-Ex14G-lwgs-1-1.clmp.fp2_r1_screen	61073.0	20830.0	4651.0	3429.0	1551.0	1409.0	524.0	332.0	6.0	0.0	0.0	652564.0	4016672.0
Sgr-AJol_076-Ex14G-lwgs-1-1.clmp.fp2_r2_screen	62328.0	20837.0	4781.0	3252.0	1514.0	1340.0	521.0	311.0	3.0	0.0	0.0	650529.0	4017625.0
Sgr-AJol_077-Ex15G-lwgs-1-1.clmp.fp2_r1_screen	58741.0	8349.0	4545.0	3200.0	1464.0	1257.0	494.0	219.0	9.0	0.0	0.0	512121.0	4217406.0
Sgr-AJol_077-Ex15G-lwgs-1-1.clmp.fp2_r2_screen	59069.0	8295.0	4535.0	3177.0	1408.0	1334.0	479.0	214.0	2.0	0.0	0.0	510924.0	4218368.0
Sgr-AJol_078-Ex16G-lwgs-1-1.clmp.fp2_r1_screen	54689.0	9491.0	3935.0	2993.0	1115.0	1237.0	453.0	199.0	8.0	0.0	0.0	550585.0	3749979.0
Sgr-AJol_078-Ex16G-lwgs-1-1.clmp.fp2_r2_screen	55383.0	9500.0	3964.0	2844.0	1150.0	1228.0	476.0	195.0	3.0	0.0	0.0	549087.0	3750854.0
Sgr-AJol_079-Ex17G-lwgs-1-1.clmp.fp2_r1_screen	30494.0	4789.0	2355.0	1682.0	753.0	678.0	301.0	118.0	4.0	0.0	0.0	316129.0	2189403.0
Sgr-AJol_079-Ex17G-lwgs-1-1.clmp.fp2_r2_screen	30794.0	4806.0	2274.0	1630.0	729.0	675.0	300.0	135.0	3.0	0.0	0.0	315193.0	2190167.0
Sgr-AJol_080-Ex18G-lwgs-1-1.clmp.fp2_r1_screen	13019.0	2394.0	1089.0	681.0	294.0	243.0	118.0	48.0	4.0	0.0	0.0	110118.0	934292.0
Sgr-AJol_080-Ex18G-lwgs-1-1.clmp.fp2_r2_screen	13227.0	2383.0	1150.0	685.0	336.0	281.0	117.0	48.0	0.0	0.0	0.0	109568.0	934505.0
Sgr-AJol_081-Ex19G-lwgs-1-1.clmp.fp2_r1_screen	786.0	143.0	76.0	35.0	26.0	21.0	8.0	3.0	0.0	0.0	0.0	6678.0	61404.0
Sgr-AJol_081-Ex19G-lwgs-1-1.clmp.fp2_r2_screen	798.0	145.0	73.0	48.0	26.0	14.0	5.0	1.0	0.0	0.0	0.0	6639.0	61431.0
Sgr-AJol_082-Ex110G-lwgs-1-1.clmp.fp2_r1_screen	33877.0	4692.0	2441.0	1672.0	679.0	695.0	250.0	95.0	1.0	0.0	0.0	238752.0	2062772.0
Sgr-AJol_082-Ex110G-lwgs-1-1.clmp.fp2_r2_screen	33888.0	4690.0	2291.0	1663.0	702.0	621.0	257.0	95.0	6.0	0.0	0.0	238002.0	2063711.0
Sgr-AJol_083-Ex111G-lwgs-1-1.clmp.fp2_r1_screen	36847.0	5305.0	2732.0	1923.0	923.0	771.0	285.0	117.0	1.0	0.0	0.0	261832.0	2516702.0
Sgr-AJol_083-Ex111G-lwgs-1-1.clmp.fp2_r2_screen	36919.0	5326.0	2785.0	1922.0	884.0	781.0	294.0	136.0	4.0	0.0	0.0	261119.0	2517268.0
