Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Viruses	Bird	Plant	Coral	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Adu-AHam_010-Ex1-a-11H-lcwgs-2-1.clmp.fp2_r1_screen	1603.0	516.0	48.0	31.0	64.0	21.0	1.0	3.0	0.0	0.0	1677.0	41539.0
Adu-AHam_010-Ex1-a-11H-lcwgs-2-1.clmp.fp2_r2_screen	1600.0	523.0	46.0	28.0	57.0	15.0	2.0	2.0	0.0	0.0	1668.0	41562.0
Adu-AHam_011-Ex1-a-12A-lcwgs-2-1.clmp.fp2_r1_screen	453.0	176.0	130.0	20.0	15.0	9.0	3.0	0.0	0.0	0.0	633.0	17238.0
Adu-AHam_011-Ex1-a-12A-lcwgs-2-1.clmp.fp2_r2_screen	424.0	182.0	132.0	25.0	18.0	11.0	1.0	1.0	0.0	0.0	622.0	17261.0
Adu-AHam_012-Ex1-a-12B-lcwgs-2-1.clmp.fp2_r1_screen	615.0	240.0	141.0	19.0	17.0	17.0	4.0	2.0	0.0	0.0	918.0	40804.0
Adu-AHam_012-Ex1-a-12B-lcwgs-2-1.clmp.fp2_r2_screen	587.0	229.0	136.0	24.0	21.0	14.0	2.0	3.0	0.0	0.0	948.0	40813.0
Adu-AHam_013-Ex1-a-12C-lcwgs-2-1.clmp.fp2_r1_screen	633.0	363.0	73.0	24.0	23.0	17.0	6.0	2.0	0.0	0.0	1322.0	45908.0
Adu-AHam_013-Ex1-a-12C-lcwgs-2-1.clmp.fp2_r2_screen	644.0	369.0	78.0	21.0	17.0	24.0	2.0	1.0	0.0	0.0	1311.0	45904.0
Adu-AHam_014-Ex1-a-12D-lcwgs-2-1.clmp.fp2_r1_screen	155.0	230.0	49.0	22.0	12.0	18.0	3.0	2.0	0.0	0.0	862.0	38537.0
Adu-AHam_014-Ex1-a-12D-lcwgs-2-1.clmp.fp2_r2_screen	157.0	237.0	44.0	26.0	14.0	11.0	2.0	2.0	0.0	0.0	836.0	38561.0
Adu-AHam_015-Ex1-a-12E-lcwgs-2-1.clmp.fp2_r1_screen	365.0	254.0	141.0	30.0	8.0	15.0	5.0	3.0	0.0	0.0	1107.0	46263.0
Adu-AHam_015-Ex1-a-12E-lcwgs-2-1.clmp.fp2_r2_screen	352.0	261.0	147.0	32.0	9.0	13.0	2.0	3.0	0.0	0.0	1090.0	46282.0
Adu-AHam_016-Ex1-a-12F-lcwgs-2-1.clmp.fp2_r1_screen	242.0	272.0	72.0	29.0	12.0	22.0	5.0	4.0	0.0	0.0	1055.0	46265.0
Adu-AHam_016-Ex1-a-12F-lcwgs-2-1.clmp.fp2_r2_screen	222.0	252.0	82.0	31.0	13.0	14.0	4.0	4.0	0.0	0.0	1058.0	46298.0
Adu-AHam_017-Ex1-a-12G-lcwgs-2-1.clmp.fp2_r1_screen	211.0	225.0	69.0	26.0	7.0	10.0	5.0	2.0	0.0	0.0	907.0	41644.0
Adu-AHam_017-Ex1-a-12G-lcwgs-2-1.clmp.fp2_r2_screen	208.0	295.0	70.0	27.0	9.0	15.0	5.0	4.0	0.0	0.0	868.0	41605.0
Adu-AHam_018-Ex1-a-12H-lcwgs-2-1.clmp.fp2_r1_screen	2282.0	742.0	69.0	34.0	62.0	33.0	4.0	2.0	0.0	0.0	2287.0	55691.0
Adu-AHam_018-Ex1-a-12H-lcwgs-2-1.clmp.fp2_r2_screen	2230.0	727.0	61.0	36.0	66.0	24.0	6.0	2.0	0.0	0.0	2265.0	55789.0
Adu-AHam_019-Ex1-a-3C-lcwgs-2-1.clmp.fp2_r1_screen	239.0	183.0	82.0	19.0	6.0	10.0	1.0	3.0	0.0	0.0	817.0	31235.0
Adu-AHam_019-Ex1-a-3C-lcwgs-2-1.clmp.fp2_r2_screen	261.0	179.0	84.0	21.0	8.0	8.0	2.0	3.0	0.0	0.0	787.0	31242.0
Adu-AHam_020-Ex1-b-1B-lcwgs-1-1.clmp.fp2_r1_screen	661.0	323.0	18630.0	21.0	18.0	15.0	4.0	0.0	0.0	0.0	14365.0	46905.0
Adu-AHam_020-Ex1-b-1B-lcwgs-1-1.clmp.fp2_r2_screen	621.0	313.0	18777.0	34.0	19.0	18.0	3.0	2.0	0.0	0.0	14201.0	46954.0
Adu-AHam_021-Ex1-a-1C-lcwgs-1-1.clmp.fp2_r1_screen	546.0	330.0	120.0	22.0	26.0	15.0	1.0	4.0	0.0	0.0	1452.0	56263.0
Adu-AHam_021-Ex1-a-1C-lcwgs-1-1.clmp.fp2_r2_screen	559.0	322.0	139.0	27.0	21.0	21.0	1.0	3.0	1.0	0.0	1434.0	56251.0
Adu-AHam_022-Ex1-a-3F-lcwgs-2-1.clmp.fp2_r1_screen	458.0	225.0	98.0	18.0	24.0	18.0	6.0	3.0	0.0	0.0	1166.0	46326.0
Adu-AHam_022-Ex1-a-3F-lcwgs-2-1.clmp.fp2_r2_screen	477.0	253.0	104.0	21.0	27.0	7.0	3.0	3.0	0.0	0.0	1131.0	46316.0
