Sequence_Name	Extraction_ID
GotPopBS23	PopB-S-23-3A-lcwgs-1-2
GotPopBS31	PopB-S-31-4A-lcwgs-1-2
GotPopAS6	PopA-S-6-5A-lcwgs-1-2
GotPopBL22	PopB-L-22-6A-lcwgs-1-2
GotPopBL42	PopB-L-42-7A-lcwgs-1-2
GotPopWCL122	PopWC-L-122-8A-lcwgs-1-2
GotPopBL9	PopB-L-9-9A-lcwgs-1-2
GotPopBL23	PopB-L-23-10A-lcwgs-1-2
GotPopAS13	PopA-S-13-11A-lcwgs-1-2
GotPopBS5	PopB-S-5-12A-lcwgs-1-2
